game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-04-01,518626,4,2,0,1.414125,4.0,2,1
2023-04-01,518692,4,1,1,0.819903,4.0,2,0
2023-04-01,518735,1,0,1,0.695903,1.0,0,0
2023-04-01,518792,2,0,0,0.771,2.0,2,0
2023-04-01,518934,5,2,1,0.946903,5.0,2,0
2023-04-01,519058,4,1,2,1.391806,4.0,1,0
2023-04-01,519203,5,1,2,2.7466948888888885,5.0,2,1
2023-04-01,519317,5,0,0,1.7814615384615382,5.0,5,1
2023-04-01,521692,4,0,0,2.5181972222222218,4.0,4,1
2023-04-01,542208,1,0,0,0.777,1.0,1,0
2023-04-01,542303,4,1,0,2.262909090909092,4.0,3,1
2023-04-01,542583,3,1,0,0.994,3.0,2,0
2023-04-01,543063,5,1,0,2.6170322580645164,5.0,4,1
2023-04-01,543068,4,0,0,3.978833333333333,4.0,4,2
2023-04-01,543257,4,1,0,1.098625,4.0,3,0
2023-04-01,543281,1,0,0,0.299,1.0,1,0
2023-04-01,543305,1,1,0,0.0,1.0,0,0
2023-04-01,543333,3,2,0,0.058,3.0,1,0
2023-04-01,543543,4,0,1,1.694903,4.0,3,0
2023-04-01,543685,4,0,0,0.225,4.0,4,0
2023-04-01,543760,6,2,0,1.5409333333333333,6.0,4,0
2023-04-01,543807,5,2,0,0.82,5.0,3,0
2023-04-01,543877,3,0,0,2.341,3.0,3,0
2023-04-01,543939,4,0,0,0.458,4.0,4,0
2023-04-01,545121,1,0,0,0.47,1.0,1,0
2023-04-01,545361,5,1,1,1.9379030000000002,5.0,3,0
2023-04-01,547379,4,3,0,0.0,3.0,0,0
2023-04-01,547989,5,3,0,0.386,5.0,2,0
2023-04-01,553869,4,0,0,0.8210000000000001,4.0,4,0
2023-04-01,553882,5,0,0,1.6869999999999998,5.0,5,0
2023-04-01,553993,4,3,0,0.069,4.0,1,0
2023-04-01,570482,5,0,1,1.801903,5.0,4,0
2023-04-01,571448,4,1,0,0.844,4.0,3,0
2023-04-01,571466,2,1,0,0.012,2.0,1,0
2023-04-01,571657,2,1,0,0.017,2.0,1,0
2023-04-01,571771,4,0,1,3.7620774915254245,4.0,2,1
2023-04-01,571875,5,2,1,1.101903,5.0,2,0
2023-04-01,571970,4,2,0,0.795005,4.0,1,0
2023-04-01,571976,4,2,1,0.928903,4.0,1,0
2023-04-01,572191,3,0,0,0.787,3.0,3,0
2023-04-01,572204,4,1,0,5.4926254180602,4.0,3,3
2023-04-01,572228,4,2,0,0.19,4.0,2,0
2023-04-01,572233,3,0,0,2.4644000000000004,3.0,3,1
2023-04-01,572761,4,0,1,1.739903,4.0,3,0
2023-04-01,572816,3,2,1,0.695903,3.0,0,0
2023-04-01,573262,5,2,0,1.806,5.0,3,0
2023-04-01,592178,4,0,1,1.6459030000000001,4.0,3,0
2023-04-01,592192,5,0,1,2.8492635442176866,5.0,4,1
2023-04-01,592200,3,0,0,0.187,3.0,3,0
2023-04-01,592206,4,1,0,1.5070000000000001,4.0,3,0
2023-04-01,592450,5,1,0,1.631,5.0,4,0
2023-04-01,592518,5,1,1,2.026903,5.0,3,0
2023-04-01,592626,5,2,1,2.682778,5.0,2,1
2023-04-01,592663,3,0,1,1.9189030000000002,3.0,2,0
2023-04-01,592669,5,1,1,1.6064682173913043,5.0,3,0
2023-04-01,592696,4,2,0,0.43800000000000006,4.0,2,0
2023-04-01,592885,4,3,0,0.638,4.0,1,0
